DATE,CAPUTLB50001SQ
1967-01-01,88.1495
1967-04-01,86.6086
1967-07-01,86.0431
1967-10-01,87.1866
1968-01-01,87.3361
1968-04-01,87.4701
1968-07-01,87.1232
1968-10-01,87.4267
1969-01-01,88.1387
1969-04-01,87.5776
1969-07-01,87.6911
1969-10-01,86.2298
1970-01-01,83.3073
1970-04-01,82.0769
1970-07-01,81.0276
1970-10-01,78.5478
1971-01-01,79.3934
1971-04-01,79.5027
1971-07-01,79.1457
1971-10-01,80.3729
1972-01-01,83.1917
1972-04-01,84.1495
1972-07-01,84.5425
1972-10-01,86.7229
1973-01-01,88.3711
1973-04-01,88.2214
1973-07-01,88.0567
1973-10-01,88.5098
1974-01-01,86.9336
1974-04-01,86.3134
1974-07-01,85.3960
1974-10-01,81.5166
1975-01-01,75.7094
1975-04-01,74.3632
1975-07-01,75.8213
1975-10-01,77.0566
1976-01-01,78.9466
1976-04-01,79.4555
1976-07-01,79.9681
1976-10-01,80.8502
1977-01-01,81.8973
1977-04-01,83.8213
1977-07-01,84.0605
1977-10-01,83.8810
1978-01-01,82.9338
1978-04-01,85.5431
1978-07-01,85.5629
1978-10-01,86.3625
1979-01-01,86.0731
1979-04-01,85.2105
1979-07-01,84.3428
1979-10-01,84.1179
1980-01-01,83.9580
1980-04-01,79.9380
1980-07-01,78.1572
1980-10-01,80.6554
1981-01-01,80.2900
1981-04-01,79.9366
1981-07-01,80.0732
1981-10-01,77.7126
1982-01-01,75.6351
1982-04-01,74.2906
1982-07-01,72.9280
1982-10-01,71.3698
1983-01-01,72.0691
1983-04-01,73.6179
1983-07-01,76.0642
1983-10-01,77.9040
1984-01-01,79.9375
1984-04-01,80.7835
1984-07-01,80.8455
1984-10-01,80.3294
1985-01-01,79.9932
1985-04-01,79.4557
1985-07-01,78.7803
1985-10-01,78.7732
1986-01-01,78.8945
1986-04-01,78.1641
1986-07-01,78.2376
1986-10-01,78.8437
1987-01-01,79.5186
1987-04-01,80.4842
1987-07-01,81.5346
1987-10-01,83.0985
1988-01-01,83.6204
1988-04-01,84.2062
1988-07-01,84.4128
1988-10-01,84.8304
1989-01-01,84.9236
1989-04-01,84.1548
1989-07-01,83.0861
1989-10-01,82.8241
1990-01-01,82.8396
1990-04-01,82.9003
1990-07-01,82.7931
1990-10-01,81.1803
1991-01-01,79.3866
1991-04-01,79.6182
1991-07-01,80.5069
1991-10-01,80.3812
1992-01-01,79.8685
1992-04-01,80.7952
1992-07-01,80.8903
1992-10-01,81.2344
1993-01-01,81.5631
1993-04-01,81.3537
1993-07-01,81.2910
1993-10-01,82.1205
1994-01-01,82.5850
1994-04-01,83.4134
1994-07-01,83.6933
1994-10-01,84.5482
1995-01-01,84.5617
1995-04-01,83.9309
1995-07-01,83.7784
1995-10-01,83.4308
1996-01-01,82.8774
1996-04-01,83.4869
1996-07-01,83.4049
1996-10-01,83.3758
1997-01-01,83.7332
1997-04-01,83.6270
1997-07-01,84.1335
1997-10-01,84.6637
1998-01-01,83.9745
1998-04-01,82.9315
1998-07-01,82.1367
1998-10-01,82.0671
1999-01-01,81.8978
1999-04-01,81.6933
1999-07-01,81.5265
1999-10-01,82.0986
2000-01-01,82.0771
2000-04-01,82.2414
2000-07-01,81.3494
2000-10-01,80.3346
2001-01-01,78.5419
2001-04-01,76.8540
2001-07-01,75.1907
2001-10-01,73.8930
2002-01-01,74.0686
2002-04-01,74.9989
2002-07-01,75.3810
2002-10-01,75.3722
2003-01-01,75.9235
2003-04-01,75.4311
2003-07-01,75.9974
2003-10-01,76.7714
2004-01-01,77.3625
2004-04-01,77.8423
2004-07-01,78.2882
2004-10-01,79.3292
2005-01-01,80.2770
2005-04-01,80.4635
2005-07-01,79.8134
2005-10-01,80.1968
2006-01-01,80.6335
2006-04-01,80.7421
2006-07-01,80.5803
2006-10-01,80.2018
2007-01-01,80.4189
2007-04-01,80.8666
2007-07-01,80.6709
2007-10-01,80.8642
2008-01-01,80.7013
2008-04-01,79.6275
2008-07-01,77.0197
2008-10-01,73.4950
2009-01-01,69.0855
2009-04-01,66.9667
2009-07-01,68.0573
2009-10-01,69.3406
2010-01-01,71.0898
2010-04-01,72.9487
2010-07-01,74.3353
2010-10-01,74.9037
2011-01-01,75.4038
2011-04-01,75.6201
2011-07-01,76.2349
2011-10-01,76.6584
2012-01-01,76.9805
2012-04-01,77.0240
2012-07-01,76.6226
2012-10-01,76.6429
2013-01-01,76.9182
2013-04-01,77.0049
2013-07-01,77.1103
2013-10-01,77.4710
2014-01-01,77.8521
2014-04-01,78.7323
2014-07-01,78.9930
2014-10-01,79.2124
2015-01-01,78.1871
2015-04-01,77.0087
2015-07-01,77.0426
2015-10-01,75.9918
2016-01-01,75.4960
2016-04-01,75.1707
2016-07-01,75.3204
2016-10-01,75.1925
2017-01-01,75.2890
2017-04-01,76.4988
2017-07-01,76.4803
2017-10-01,77.7549
2018-01-01,78.3806
2018-04-01,79.4599
2018-07-01,80.1148
2018-10-01,80.0088
2019-01-01,79.0816
2019-04-01,78.4919
2019-07-01,78.2755
2019-10-01,77.5252
2020-01-01,76.1875
2020-04-01,66.6309
2020-07-01,73.0298
2020-10-01,74.6035
2021-01-01,75.6195
2021-04-01,77.1678
2021-07-01,77.9702
2021-10-01,78.7669
2022-01-01,79.3907
2022-04-01,79.9921
2022-07-01,79.9819
