DATE,DPCERD3Q086SBEA
1947-01-01,12.225
1947-04-01,12.322
1947-07-01,12.552
1947-10-01,12.865
1948-01-01,13.007
1948-04-01,13.142
1948-07-01,13.343
1948-10-01,13.302
1949-01-01,13.198
1949-04-01,13.118
1949-07-01,13.041
1949-10-01,13.029
1950-01-01,13.006
1950-04-01,13.067
1950-07-01,13.34
1950-10-01,13.579
1951-01-01,14.013
1951-04-01,14.127
1951-07-01,14.146
1951-10-01,14.333
1952-01-01,14.393
1952-04-01,14.39
1952-07-01,14.484
1952-10-01,14.508
1953-01-01,14.563
1953-04-01,14.585
1953-07-01,14.664
1953-10-01,14.728
1954-01-01,14.802
1954-04-01,14.782
1954-07-01,14.733
1954-10-01,14.718
1955-01-01,14.765
1955-04-01,14.78
1955-07-01,14.837
1955-10-01,14.878
1956-01-01,14.939
1956-04-01,15.039
1956-07-01,15.186
1956-10-01,15.275
1957-01-01,15.413
1957-04-01,15.511
1957-07-01,15.637
1957-10-01,15.718
1958-01-01,15.912
1958-04-01,15.941
1958-07-01,15.953
1958-10-01,15.946
1959-01-01,16.055
1959-04-01,16.12
1959-07-01,16.218
1959-10-01,16.306
1960-01-01,16.328
1960-04-01,16.413
1960-07-01,16.475
1960-10-01,16.548
1961-01-01,16.578
1961-04-01,16.576
1961-07-01,16.636
1961-10-01,16.654
1962-01-01,16.726
1962-04-01,16.785
1962-07-01,16.83
1962-10-01,16.881
1963-01-01,16.93
1963-04-01,16.956
1963-07-01,17.038
1963-10-01,17.101
1964-01-01,17.182
1964-04-01,17.22
1964-07-01,17.276
1964-10-01,17.333
1965-01-01,17.389
1965-04-01,17.477
1965-07-01,17.542
1965-10-01,17.595
1966-01-01,17.732
1966-04-01,17.876
1966-07-01,18.013
1966-10-01,18.152
1967-01-01,18.205
1967-04-01,18.291
1967-07-01,18.461
1967-10-01,18.619
1968-01-01,18.816
1968-04-01,19.008
1968-07-01,19.205
1968-10-01,19.418
1969-01-01,19.607
1969-04-01,19.857
1969-07-01,20.1
1969-10-01,20.333
1970-01-01,20.569
1970-04-01,20.797
1970-07-01,20.999
1970-10-01,21.271
1971-01-01,21.472
1971-04-01,21.716
1971-07-01,21.929
1971-10-01,22.064
1972-01-01,22.296
1972-04-01,22.425
1972-07-01,22.622
1972-10-01,22.807
1973-01-01,23.084
1973-04-01,23.529
1973-07-01,23.958
1973-10-01,24.45
1974-01-01,25.178
1974-04-01,25.891
1974-07-01,26.589
1974-10-01,27.262
1975-01-01,27.771
1975-04-01,28.109
1975-07-01,28.634
1975-10-01,29.115
1976-01-01,29.437
1976-04-01,29.685
1976-07-01,30.137
1976-10-01,30.614
1977-01-01,31.165
1977-04-01,31.698
1977-07-01,32.174
1977-10-01,32.631
1978-01-01,33.165
1978-04-01,33.846
1978-07-01,34.441
1978-10-01,35.092
1979-01-01,35.755
1979-04-01,36.733
1979-07-01,37.646
1979-10-01,38.558
1980-01-01,39.716
1980-04-01,40.689
1980-07-01,41.641
1980-10-01,42.673
1981-01-01,43.781
1981-04-01,44.515
1981-07-01,45.248
1981-10-01,45.94
1982-01-01,46.521
1982-04-01,46.967
1982-07-01,47.707
1982-10-01,48.232
1983-01-01,48.629
1983-04-01,49.073
1983-07-01,49.718
1983-10-01,50.048
1984-01-01,50.592
1984-04-01,51.083
1984-07-01,51.478
1984-10-01,51.796
1985-01-01,52.406
1985-04-01,52.831
1985-07-01,53.245
1985-10-01,53.618
1986-01-01,53.999
1986-04-01,53.943
1986-07-01,54.228
1986-10-01,54.555
1987-01-01,55.068
1987-04-01,55.598
1987-07-01,56.123
1987-10-01,56.607
1988-01-01,57.054
1988-04-01,57.684
1988-07-01,58.395
1988-10-01,58.987
1989-01-01,59.665
1989-04-01,60.47
1989-07-01,60.828
1989-10-01,61.308
1990-01-01,62.198
1990-04-01,62.764
