period,"United States – Wages, total economy – Quarterly (OECD/EO/USA.WAGE.Q)"
1960-Q1,270749000000.0
1960-Q2,273398000000.0
1960-Q3,273964000000.0
1960-Q4,273308000000.0
1961-Q1,273789000000.0
1961-Q2,277633000000.0
1961-Q3,282252000000.0
1961-Q4,288403000000.0
1962-Q1,293276000000.0
1962-Q2,298747000000.0
1962-Q3,301175000000.0
1962-Q4,304234000000.0
1963-Q1,307962000000.0
1963-Q2,312356000000.0
1963-Q3,316845000000.0
1963-Q4,322240000000.0
1964-Q1,328222000000.0
1964-Q2,334833000000.0
1964-Q3,341409000000.0
1964-Q4,346687000000.0
1965-Q1,352814000000.0
1965-Q2,358877000000.0
1965-Q3,366215000000.0
1965-Q4,377121000000.0
1966-Q1,385763000000.0
1966-Q2,395903000000.0
1966-Q3,406132000000.0
1966-Q4,413485000000.0
1967-Q1,418841000000.0
1967-Q2,423604000000.0
1967-Q3,432009000000.0
1967-Q4,441583000000.0
1968-Q1,454210000000.0
1968-Q2,465923000000.0
1968-Q3,478330000000.0
1968-Q4,489423000000.0
1969-Q1,499068000000.0
1969-Q2,511382000000.0
1969-Q3,526431000000.0
1969-Q4,536451000000.0
1970-Q1,545098000000.0
1970-Q2,549066000000.0
1970-Q3,555722000000.0
1970-Q4,556354000000.0
1971-Q1,570513000000.0
1971-Q2,580449000000.0
1971-Q3,588790000000.0
1971-Q4,598442000000.0
1972-Q1,618471000000.0
1972-Q2,630373000000.0
1972-Q3,642325000000.0
1972-Q4,663970000000.0
1973-Q1,683351000000.0
1973-Q2,700188000000.0
1973-Q3,716164000000.0
1973-Q4,735343000000.0
1974-Q1,748181000000.0
1974-Q2,765297000000.0
1974-Q3,783131000000.0
1974-Q4,792519000000.0
1975-Q1,791920000000.0
1975-Q2,800367000000.0
1975-Q3,821293000000.0
1975-Q4,845772000000.0
1976-Q1,871218000000.0
1976-Q2,889382000000.0
1976-Q3,908452000000.0
1976-Q4,929928000000.0
1977-Q1,950043000000.0
1977-Q2,980908000000.0
1977-Q3,1007506000000.0
1977-Q4,1038175000000.0
1978-Q1,1063845000000.0
1978-Q2,1106042000000.0
1978-Q3,1137996000000.0
1978-Q4,1174396000000.0
1979-Q1,1208565000000.0
1979-Q2,1234381000000.0
1979-Q3,1269386000000.0
1979-Q4,1300925000000.0
1980-Q1,1333777000000.0
1980-Q2,1353879000000.0
1980-Q3,1377302000000.0
1980-Q4,1428729000000.0
1981-Q1,1467662000000.0
1981-Q2,1496683000000.0
1981-Q3,1530569000000.0
1981-Q4,1550577000000.0
1982-Q1,1567538000000.0
1982-Q2,1581739000000.0
1982-Q3,1596438000000.0
1982-Q4,1604354000000.0
1983-Q1,1622449000000.0
1983-Q2,1654672000000.0
1983-Q3,1691405000000.0
1983-Q4,1741526000000.0
1984-Q1,1784009000000.0
1984-Q2,1828142000000.0
1984-Q3,1867050000000.0
1984-Q4,1900457000000.0
1985-Q1,1932147000000.0
1985-Q2,1963626000000.0
1985-Q3,1997416000000.0
1985-Q4,2037011000000.0
1986-Q1,2063537000000.0
1986-Q2,2081804000000.0
1986-Q3,2111468000000.0
1986-Q4,2152531000000.0
1987-Q1,2192652000000.0
1987-Q2,2229890000000.0
1987-Q3,2270785000000.0
1987-Q4,2331739000000.0
1988-Q1,2366183000000.0
1988-Q2,2421533000000.0
1988-Q3,2462854000000.0
1988-Q4,2508558000000.0
1989-Q1,2540806000000.0
1989-Q2,2563467000000.0
1989-Q3,2592251000000.0
1989-Q4,2635680000000.0
1990-Q1,2684433000000.0
1990-Q2,2738832000000.0
1990-Q3,2769310000000.0
1990-Q4,2772219000000.0
1991-Q1,2771729000000.0
1991-Q2,2800145000000.0
1991-Q3,2828083000000.0
1991-Q4,2857955000000.0
1992-Q1,2912856000000.0
1992-Q2,2951982000000.0
1992-Q3,2976554000000.0
1992-Q4,3020771000000.0
1993-Q1,3015937000000.0
1993-Q2,3066450000000.0
1993-Q3,3093619000000.0
1993-Q4,3141356000000.0
1994-Q1,3152713000000.0
1994-Q2,3223321000000.0
1994-Q3,3258704000000.0
1994-Q4,3311620000000.0
1995-Q1,3358102000000.0
1995-Q2,3395188000000.0
1995-Q3,3438905000000.0
1995-Q4,3479893000000.0
1996-Q1,3524438000000.0
1996-Q2,3589950000000.0
1996-Q3,3647237000000.0
1996-Q4,3704252000000.0
1997-Q1,3776357000000.0
1997-Q2,3835645000000.0
1997-Q3,3902961000000.0
1997-Q4,3992413000000.0
1998-Q1,4074893000000.0
1998-Q2,4145492000000.0
1998-Q3,4217415000000.0
1998-Q4,4288664000000.0
1999-Q1,4364622000000.0
1999-Q2,4409322000000.0
1999-Q3,4473677000000.0
1999-Q4,4584082000000.0
2000-Q1,4751494000000.0
2000-Q2,4779055000000.0
2000-Q3,4871279000000.0
2000-Q4,4897955000000.0
2001-Q1,4979459000000.0
2001-Q2,4961391000000.0
2001-Q3,4935931000000.0
2001-Q4,4937759000000.0
2002-Q1,4945871000000.0
2002-Q2,4998318000000.0
2002-Q3,5012121000000.0
2002-Q4,5027065000000.0
2003-Q1,5027006000000.0
2003-Q2,5101360000000.0
2003-Q3,5168728000000.0
2003-Q4,5255981000000.0
2004-Q1,5274461000000.0
2004-Q2,5380726000000.0
2004-Q3,5492772000000.0
2004-Q4,5536095000000.0
2005-Q1,5574624000000.0
2005-Q2,5637841000000.0
2005-Q3,5738267000000.0
2005-Q4,5814784000000.0
2006-Q1,5971384000000.0
2006-Q2,6012628000000.0
2006-Q3,6061887000000.0
2006-Q4,6181056000000.0
2007-Q1,6343751000000.0
2007-Q2,6370332000000.0
2007-Q3,6397562000000.0
2007-Q4,6473921000000.0
2008-Q1,6539394000000.0
2008-Q2,6532655000000.0
2008-Q3,6547155000000.0
2008-Q4,6517178000000.0
2009-Q1,6225578000000.0
2009-Q2,6254486000000.0
2009-Q3,6237216000000.0
2009-Q4,6279158000000.0
2010-Q1,6233246000000.0
2010-Q2,6360695000000.0
2010-Q3,6422530000000.0
2010-Q4,6473571000000.0
2011-Q1,6577279000000.0
2011-Q2,6608231000000.0
2011-Q3,6681614000000.0
2011-Q4,6637603000000.0
2012-Q1,6836284000000.0
2012-Q2,6875985000000.0
2012-Q3,6906053000000.0
2012-Q4,7094176000000.0
2013-Q1,7043853000000.0
2013-Q2,7102954000000.0
2013-Q3,7112863000000.0
2013-Q4,7196308000000.0
2014-Q1,7358624000000.0
2014-Q2,7409380000000.0
2014-Q3,7503016000000.0
2014-Q4,7634308000000.0
2015-Q1,7746184000000.0
2015-Q2,7830788000000.0
2015-Q3,7902978000000.0
2015-Q4,7957979000000.0
2016-Q1,7992710000000.0
2016-Q2,8039211000000.0
2016-Q3,8119315000000.0
2016-Q4,8213718000000.0
2017-Q1,8310984000000.0
2017-Q2,8402114000000.0
2017-Q3,8518258000000.0
2017-Q4,8666283000000.0
2018-Q1,8762571000000.0
2018-Q2,8843055000000.0
2018-Q3,8969454000000.0
2018-Q4,9025014000000.0
2019-Q1,9222026000000.0
2019-Q2,9272689000000.0
2019-Q3,9328676000000.0
2019-Q4,9474972000000.0
2020-Q1,9624702000000.0
2020-Q2,8995727000000.0
2020-Q3,9425372000000.0
2020-Q4,9783714000000.0
2021-Q1,9851195000000.0
2021-Q2,10138512000000.0
2021-Q3,10422312000000.0
2021-Q4,10748407000000.0
2022-Q1,10925505000000.0
2022-Q2,11108444000000.0
2022-Q3,11306955000000.0
2022-Q4,11449150317419.3
2023-Q1,11567273846706.2
2023-Q2,11663816388688.4
2023-Q3,11755500753632.7
2023-Q4,11848023505652.9
2024-Q1,11944380502157.7
2024-Q2,12041626063236.0
2024-Q3,12145734703613.6
2024-Q4,12247780385710.5
